x,y,z,lj
-9.561,0.67,-0.084,5.0
-8.533,-1.353,0.016,5.0
1.77,-0.436,0.058,5.0
0.524,0.451,0.083,5.0
3.046,0.409,0.088,5.0
-0.791,-0.335,0.041,5.0
4.295,-0.472,0.027,5.0
-2.072,0.505,-0.021,5.0
5.605,0.319,0.091,5.0
-3.354,-0.332,-0.011,5.0
6.893,-0.501,-0.051,5.0
-4.599,0.556,0.005,5.0
8.165,0.352,-0.04,5.0
-5.917,-0.228,-0.023,5.0
9.451,-0.478,-0.093,5.0
-7.173,0.644,-0.019,5.0
10.719,0.36,-0.053,5.0
-8.468,-0.131,-0.015,5.0
1.755,-1.115,0.919,5.0
1.759,-1.056,-0.846,5.0
0.536,1.075,0.986,5.0
0.552,1.136,-0.774,5.0
3.05,1.106,-0.759,5.0
3.068,1.012,1.003,5.0
-0.837,-0.982,0.926,5.0
-0.774,-1.003,-0.829,5.0
4.276,-1.193,0.853,5.0
4.278,-1.056,-0.902,5.0
-2.049,1.126,-0.925,5.0
-2.083,1.192,0.834,5.0
5.591,1.079,-0.701,5.0
5.639,0.866,1.042,5.0
-3.361,-0.985,0.87,5.0
-3.373,-0.981,-0.894,5.0
6.938,-1.231,0.766,5.0
6.853,-1.074,-0.985,5.0
-4.571,1.232,-0.859,5.0
-4.581,1.189,0.901,5.0
8.144,1.043,-0.892,5.0
8.175,0.968,0.867,5.0
-5.946,-0.903,0.841,5.0
-5.931,-0.871,-0.913,5.0
9.454,-1.082,-1.008,5.0
9.465,-1.178,0.751,5.0
-7.167,1.284,0.87,5.0
-7.168,1.283,-0.909,5.0
10.759,1.049,-0.903,5.0
11.603,-0.284,-0.094,5.0
10.769,0.949,0.869,5.0
-10.394,0.152,-0.096,5.0
